_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,ICD10Codes,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF,HospitalResidentsCount,HospitalResidentsCountQF,HospitalResidentsRates,HospitalResidentsRatesQF
15,1997/98,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,6600, ,129.84, ,4490, ,88.33, ,3160, ,62.16, 
16,1997/98,S92000003,d,Total,d,"F50 - F59, F70 - F99",810, ,15.93, ,680, ,13.38, ,180, ,3.54, 
17,1997/98,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",370, ,7.28, ,310, ,6.1, , ,:, ,:
18,1997/98,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",440, ,8.66, ,380, ,7.48, ,180, ,3.54, 
19,1997/98,S92000003,d,Total,d,F20 - F29,6400, ,125.9, ,4270, ,84, ,2320, ,45.64, 
20,1997/98,S92000003,d,SMR01, ,F20 - F29,100, ,1.97, ,90, ,1.77, , ,:, ,:
21,1997/98,S92000003,d,SMR04, ,F20 - F29,6300, ,123.93, ,4210, ,82.82, ,2320, ,45.64, 
22,1998/99,S92000003,d,Total,d,F60 - F69,1360, ,26.79, ,930, ,18.32, ,140, ,2.76, 
23,1998/99,S92000003,d,SMR01, ,F60 - F69,50, ,0.98, ,50, ,0.98, , ,:, ,:
24,1998/99,S92000003,d,SMR04, ,F60 - F69,1300, ,25.61, ,880, ,17.33, ,140, ,2.76, 
25,1998/99,S92000003,d,Total,d,F10 - F19,10850, ,213.71, ,8100, ,159.54, ,450, ,8.86, 
26,1998/99,S92000003,d,SMR01, ,F10 - F19,5460, ,107.54, ,4340, ,85.48, , ,:, ,:
27,1998/99,S92000003,d,SMR04, ,F10 - F19,5390, ,106.16, ,4180, ,82.33, ,450, ,8.86, 
28,1998/99,S92000003,d,Total,d,F30 - F39,9470, ,186.52, ,7100, ,139.84, ,1120, ,22.06, 
29,1998/99,S92000003,d,SMR01, ,F30 - F39,540, ,10.64, ,460, ,9.06, , ,:, ,:
30,1998/99,S92000003,d,SMR04, ,F30 - F39,8930, ,175.89, ,6740, ,132.75, ,1120, ,22.06, 
31,1998/99,S92000003,d,Total,d,F40 - F49,3080, ,60.66, ,2640, ,52, ,120, ,2.36, 
32,1998/99,S92000003,d,SMR01, ,F40 - F49,780, ,15.36, ,700, ,13.79, , ,:, ,:
33,1998/99,S92000003,d,SMR04, ,F40 - F49,2300, ,45.3, ,1960, ,38.6, ,120, ,2.36, 
34,1998/99,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,8710, ,171.56, ,6100, ,120.15, ,2890, ,56.92, 
35,1998/99,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2510, ,49.44, ,2000, ,39.39, , ,:, ,:
36,1998/99,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,6200, ,122.12, ,4300, ,84.69, ,2890, ,56.92, 
37,1998/99,S92000003,d,Total,d,"F50 - F59, F70 - F99",840, ,16.54, ,700, ,13.79, ,160, ,3.15, 
38,1998/99,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",380, ,7.48, ,290, ,5.71, , ,:, ,:
39,1998/99,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",470, ,9.26, ,420, ,8.27, ,160, ,3.15, 
40,1998/99,S92000003,d,Total,d,F20 - F29,6740, ,132.75, ,4470, ,88.04, ,2220, ,43.73, 
41,1998/99,S92000003,d,SMR01, ,F20 - F29,120, ,2.36, ,100, ,1.97, , ,:, ,:
42,1998/99,S92000003,d,SMR04, ,F20 - F29,6620, ,130.39, ,4400, ,86.66, ,2220, ,43.73, 
43,1999/00,S92000003,d,Total,d,F60 - F69,1230, ,24.25, ,880, ,17.35, ,120, ,2.37, 
44,1999/00,S92000003,d,SMR01, ,F60 - F69,40, ,0.79, ,40, ,0.79, , ,:, ,:
45,1999/00,S92000003,d,SMR04, ,F60 - F69,1190, ,23.46, ,840, ,16.56, ,120, ,2.37, 
46,1999/00,S92000003,d,Total,d,F10 - F19,11520, ,227.13, ,8570, ,168.97, ,420, ,8.28, 
47,1999/00,S92000003,d,SMR01, ,F10 - F19,5930, ,116.92, ,4700, ,92.67, , ,:, ,:
48,1999/00,S92000003,d,SMR04, ,F10 - F19,5590, ,110.21, ,4310, ,84.98, ,420, ,8.28, 
49,1999/00,S92000003,d,Total,d,F30 - F39,9130, ,180.01, ,6820, ,134.47, ,1060, ,20.9, 
50,1999/00,S92000003,d,SMR01, ,F30 - F39,510, ,10.06, ,460, ,9.07, , ,:, ,:
51,1999/00,S92000003,d,SMR04, ,F30 - F39,8620, ,169.95, ,6460, ,127.37, ,1060, ,20.9, 
52,1999/00,S92000003,d,Total,d,F40 - F49,2880, ,56.78, ,2500, ,49.29, ,110, ,2.17, 
53,1999/00,S92000003,d,SMR01, ,F40 - F49,690, ,13.6, ,630, ,12.42, , ,:, ,:
54,1999/00,S92000003,d,SMR04, ,F40 - F49,2190, ,43.18, ,1880, ,37.07, ,110, ,2.17, 
55,1999/00,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,8300, ,163.65, ,5860, ,115.54, ,2660, ,52.45, 
56,1999/00,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2350, ,46.33, ,1880, ,37.07, , ,:, ,:
57,1999/00,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,5950, ,117.31, ,4170, ,82.22, ,2660, ,52.45, 
58,1999/00,S92000003,d,Total,d,"F50 - F59, F70 - F99",670, ,13.21, ,550, ,10.84, ,140, ,2.76, 
59,1999/00,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",280, ,5.52, ,240, ,4.73, , ,:, ,:
60,1999/00,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",390, ,7.69, ,320, ,6.31, ,140, ,2.76, 
61,1999/00,S92000003,d,Total,d,F20 - F29,6680, ,131.7, ,4490, ,88.53, ,2110, ,41.6, 
62,1999/00,S92000003,d,SMR01, ,F20 - F29,110, ,2.17, ,90, ,1.77, , ,:, ,:
63,1999/00,S92000003,d,SMR04, ,F20 - F29,6570, ,129.54, ,4420, ,87.15, ,2110, ,41.6, 
64,2000/01,S92000003,d,Total,d,F60 - F69,1250, ,24.69, ,870, ,17.18, ,120, ,2.37, 
65,2000/01,S92000003,d,SMR01, ,F60 - F69,40, ,0.79, ,40, ,0.79, , ,:, ,:
66,2000/01,S92000003,d,SMR04, ,F60 - F69,1210, ,23.9, ,840, ,16.59, ,120, ,2.37, 
67,2000/01,S92000003,d,Total,d,F10 - F19,10800, ,213.31, ,8040, ,158.8, ,420, ,8.3, 
68,2000/01,S92000003,d,SMR01, ,F10 - F19,5720, ,112.98, ,4520, ,89.28, , ,:, ,:
69,2000/01,S92000003,d,SMR04, ,F10 - F19,5080, ,100.34, ,3940, ,77.82, ,420, ,8.3, 
70,2000/01,S92000003,d,Total,d,F30 - F39,9150, ,180.73, ,6740, ,133.12, ,1060, ,20.94, 
71,2000/01,S92000003,d,SMR01, ,F30 - F39,540, ,10.67, ,450, ,8.89, , ,:, ,:
72,2000/01,S92000003,d,SMR04, ,F30 - F39,8610, ,170.06, ,6380, ,126.01, ,1060, ,20.94, 
73,2000/01,S92000003,d,Total,d,F40 - F49,2720, ,53.72, ,2380, ,47.01, ,110, ,2.17, 
74,2000/01,S92000003,d,SMR01, ,F40 - F49,730, ,14.42, ,660, ,13.04, , ,:, ,:
75,2000/01,S92000003,d,SMR04, ,F40 - F49,1990, ,39.31, ,1740, ,34.37, ,110, ,2.17, 
76,2000/01,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,7550, ,149.12, ,5360, ,105.87, ,2510, ,49.58, 
77,2000/01,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2210, ,43.65, ,1710, ,33.77, , ,:, ,:
78,2000/01,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,5340, ,105.47, ,3800, ,75.06, ,2510, ,49.58, 
79,2000/01,S92000003,d,Total,d,"F50 - F59, F70 - F99",650, ,12.84, ,520, ,10.27, ,140, ,2.77, 
80,2000/01,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",280, ,5.53, ,230, ,4.54, , ,:, ,:
81,2000/01,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",370, ,7.31, ,300, ,5.93, ,140, ,2.77, 
82,2000/01,S92000003,d,Total,d,F20 - F29,7080, ,139.84, ,4590, ,90.66, ,2060, ,40.69, 
83,2000/01,S92000003,d,SMR01, ,F20 - F29,150, ,2.96, ,130, ,2.57, , ,:, ,:
84,2000/01,S92000003,d,SMR04, ,F20 - F29,6930, ,136.88, ,4500, ,88.88, ,2060, ,40.69, 
85,2001/02,S92000003,d,Total,d,F60 - F69,1280, ,25.28, ,870, ,17.18, ,130, ,2.57, 
86,2001/02,S92000003,d,SMR01, ,F60 - F69,40, ,0.79, ,40, ,0.79, , ,:, ,:
87,2001/02,S92000003,d,SMR04, ,F60 - F69,1240, ,24.49, ,840, ,16.59, ,130, ,2.57, 
88,2001/02,S92000003,d,Total,d,F10 - F19,10830, ,213.85, ,8030, ,158.56, ,370, ,7.31, 
89,2001/02,S92000003,d,SMR01, ,F10 - F19,5660, ,111.76, ,4460, ,88.07, , ,:, ,:
90,2001/02,S92000003,d,SMR04, ,F10 - F19,5170, ,102.09, ,3990, ,78.79, ,370, ,7.31, 
91,2001/02,S92000003,d,Total,d,F30 - F39,8860, ,174.95, ,6540, ,129.14, ,1030, ,20.34, 
92,2001/02,S92000003,d,SMR01, ,F30 - F39,480, ,9.48, ,420, ,8.29, , ,:, ,:
93,2001/02,S92000003,d,SMR04, ,F30 - F39,8380, ,165.48, ,6200, ,122.43, ,1030, ,20.34, 
94,2001/02,S92000003,d,Total,d,F40 - F49,2780, ,54.9, ,2340, ,46.21, ,110, ,2.17, 
95,2001/02,S92000003,d,SMR01, ,F40 - F49,820, ,16.19, ,720, ,14.22, , ,:, ,:
96,2001/02,S92000003,d,SMR04, ,F40 - F49,1960, ,38.7, ,1640, ,32.38, ,110, ,2.17, 
97,2001/02,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,7430, ,146.72, ,5230, ,103.27, ,2340, ,46.21, 
98,2001/02,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2510, ,49.56, ,1830, ,36.14, , ,:, ,:
99,2001/02,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,4930, ,97.35, ,3590, ,70.89, ,2340, ,46.21, 
100,2001/02,S92000003,d,Total,d,"F50 - F59, F70 - F99",560, ,11.06, ,470, ,9.28, ,120, ,2.37, 
101,2001/02,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",260, ,5.13, ,230, ,4.54, , ,:, ,:
102,2001/02,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",300, ,5.92, ,250, ,4.94, ,120, ,2.37, 
103,2001/02,S92000003,d,Total,d,F20 - F29,7120, ,140.59, ,4530, ,89.45, ,1970, ,38.9, 
104,2001/02,S92000003,d,SMR01, ,F20 - F29,130, ,2.57, ,110, ,2.17, , ,:, ,:
105,2001/02,S92000003,d,SMR04, ,F20 - F29,6990, ,138.03, ,4460, ,88.07, ,1970, ,38.9, 
106,2002/03,S92000003,d,Total,d,F60 - F69,1260, ,24.87, ,870, ,17.17, ,110, ,2.17, 
107,2002/03,S92000003,d,SMR01, ,F60 - F69,50, ,0.99, ,40, ,0.79, , ,:, ,:
108,2002/03,S92000003,d,SMR04, ,F60 - F69,1220, ,24.08, ,840, ,16.58, ,110, ,2.17, 
109,2002/03,S92000003,d,Total,d,F10 - F19,10710, ,211.41, ,7910, ,156.14, ,360, ,7.11, 
110,2002/03,S92000003,d,SMR01, ,F10 - F19,5620, ,110.94, ,4360, ,86.06, , ,:, ,:
111,2002/03,S92000003,d,SMR04, ,F10 - F19,5080, ,100.28, ,3950, ,77.97, ,360, ,7.11, 
112,2002/03,S92000003,d,Total,d,F30 - F39,8760, ,172.92, ,6550, ,129.29, ,1030, ,20.33, 
113,2002/03,S92000003,d,SMR01, ,F30 - F39,480, ,9.47, ,410, ,8.09, , ,:, ,:
114,2002/03,S92000003,d,SMR04, ,F30 - F39,8280, ,163.44, ,6220, ,122.78, ,1030, ,20.33, 
115,2002/03,S92000003,d,Total,d,F40 - F49,2610, ,51.52, ,2260, ,44.61, ,100, ,1.97, 
116,2002/03,S92000003,d,SMR01, ,F40 - F49,800, ,15.79, ,710, ,14.02, , ,:, ,:
117,2002/03,S92000003,d,SMR04, ,F40 - F49,1810, ,35.73, ,1560, ,30.79, ,100, ,1.97, 
118,2002/03,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,7340, ,144.89, ,5220, ,103.04, ,2170, ,42.83, 
119,2002/03,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2580, ,50.93, ,1870, ,36.91, , ,:, ,:
120,2002/03,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,4760, ,93.96, ,3470, ,68.5, ,2170, ,42.83, 
121,2002/03,S92000003,d,Total,d,"F50 - F59, F70 - F99",570, ,11.25, ,470, ,9.28, ,120, ,2.37, 
122,2002/03,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",290, ,5.72, ,250, ,4.93, , ,:, ,:
123,2002/03,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",280, ,5.53, ,230, ,4.54, ,120, ,2.37, 
124,2002/03,S92000003,d,Total,d,F20 - F29,6990, ,137.98, ,4610, ,91, ,1880, ,37.11, 
125,2002/03,S92000003,d,SMR01, ,F20 - F29,110, ,2.17, ,100, ,1.97, , ,:, ,:
126,2002/03,S92000003,d,SMR04, ,F20 - F29,6880, ,135.81, ,4550, ,89.81, ,1880, ,37.11, 
127,2003/04,S92000003,d,Total,d,F60 - F69,1260, ,24.86, ,860, ,16.97, ,110, ,2.17, 
128,2003/04,S92000003,d,SMR01, ,F60 - F69,70, ,1.38, ,60, ,1.18, , ,:, ,:
129,2003/04,S92000003,d,SMR04, ,F60 - F69,1180, ,23.28, ,810, ,15.98, ,110, ,2.17, 
130,2003/04,S92000003,d,Total,d,F10 - F19,10580, ,208.74, ,7800, ,153.89, ,300, ,5.92, 
131,2003/04,S92000003,d,SMR01, ,F10 - F19,5700, ,112.46, ,4310, ,85.04, , ,:, ,:
132,2003/04,S92000003,d,SMR04, ,F10 - F19,4880, ,96.28, ,3880, ,76.55, ,300, ,5.92, 
133,2003/04,S92000003,d,Total,d,F30 - F39,8610, ,169.87, ,6480, ,127.85, ,1000, ,19.73, 
134,2003/04,S92000003,d,SMR01, ,F30 - F39,470, ,9.27, ,390, ,7.69, , ,:, ,:
135,2003/04,S92000003,d,SMR04, ,F30 - F39,8140, ,160.6, ,6170, ,121.73, ,1000, ,19.73, 
136,2003/04,S92000003,d,Total,d,F40 - F49,2540, ,50.11, ,2240, ,44.19, ,130, ,2.56, 
137,2003/04,S92000003,d,SMR01, ,F40 - F49,840, ,16.57, ,760, ,14.99, , ,:, ,:
138,2003/04,S92000003,d,SMR04, ,F40 - F49,1690, ,33.34, ,1490, ,29.4, ,130, ,2.56, 
139,2003/04,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,7340, ,144.82, ,5130, ,101.21, ,2070, ,40.84, 
140,2003/04,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2880, ,56.82, ,2000, ,39.46, , ,:, ,:
141,2003/04,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,4460, ,87.99, ,3320, ,65.5, ,2070, ,40.84, 
142,2003/04,S92000003,d,Total,d,"F50 - F59, F70 - F99",610, ,12.04, ,500, ,9.86, ,130, ,2.56, 
143,2003/04,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",300, ,5.92, ,250, ,4.93, , ,:, ,:
144,2003/04,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",320, ,6.31, ,260, ,5.13, ,130, ,2.56, 
145,2003/04,S92000003,d,Total,d,F20 - F29,6930, ,136.73, ,4510, ,88.98, ,1830, ,36.11, 
146,2003/04,S92000003,d,SMR01, ,F20 - F29,130, ,2.56, ,110, ,2.17, , ,:, ,:
147,2003/04,S92000003,d,SMR04, ,F20 - F29,6800, ,134.16, ,4430, ,87.4, ,1830, ,36.11, 
148,2004/05,S92000003,d,Total,d,F60 - F69,1320, ,25.96, ,860, ,16.91, ,120, ,2.36, 
149,2004/05,S92000003,d,SMR01, ,F60 - F69,40, ,0.79, ,30, ,0.59, , ,:, ,:
150,2004/05,S92000003,d,SMR04, ,F60 - F69,1290, ,25.37, ,840, ,16.52, ,120, ,2.36, 
151,2004/05,S92000003,d,Total,d,F10 - F19,10380, ,204.16, ,7600, ,149.48, ,310, ,6.1, 
152,2004/05,S92000003,d,SMR01, ,F10 - F19,5590, ,109.95, ,4170, ,82.02, , ,:, ,:
153,2004/05,S92000003,d,SMR04, ,F10 - F19,4790, ,94.21, ,3830, ,75.33, ,310, ,6.1, 
154,2004/05,S92000003,d,Total,d,F30 - F39,8010, ,157.54, ,6050, ,118.99, ,920, ,18.09, 
155,2004/05,S92000003,d,SMR01, ,F30 - F39,450, ,8.85, ,370, ,7.28, , ,:, ,:
156,2004/05,S92000003,d,SMR04, ,F30 - F39,7560, ,148.69, ,5750, ,113.09, ,920, ,18.09, 
157,2004/05,S92000003,d,Total,d,F40 - F49,2460, ,48.38, ,2180, ,42.88, ,120, ,2.36, 
158,2004/05,S92000003,d,SMR01, ,F40 - F49,760, ,14.95, ,690, ,13.57, , ,:, ,:
159,2004/05,S92000003,d,SMR04, ,F40 - F49,1700, ,33.44, ,1500, ,29.5, ,120, ,2.36, 
160,2004/05,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,6610, ,130.01, ,4790, ,94.21, ,1910, ,37.57, 
161,2004/05,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2650, ,52.12, ,1860, ,36.58, , ,:, ,:
162,2004/05,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,3970, ,78.08, ,3070, ,60.38, ,1910, ,37.57, 
163,2004/05,S92000003,d,Total,d,"F50 - F59, F70 - F99",590, ,11.6, ,470, ,9.24, ,110, ,2.16, 
164,2004/05,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",250, ,4.92, ,230, ,4.52, , ,:, ,:
165,2004/05,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",340, ,6.69, ,260, ,5.11, ,110, ,2.16, 
166,2004/05,S92000003,d,Total,d,F20 - F29,6900, ,135.71, ,4390, ,86.34, ,1760, ,34.62, 
167,2004/05,S92000003,d,SMR01, ,F20 - F29,130, ,2.56, ,110, ,2.16, , ,:, ,:
168,2004/05,S92000003,d,SMR04, ,F20 - F29,6770, ,133.16, ,4320, ,84.97, ,1760, ,34.62, 
169,2005/06,S92000003,d,Total,d,F60 - F69,1320, ,25.83, ,870, ,17.02, ,100, ,1.96, 
170,2005/06,S92000003,d,SMR01, ,F60 - F69,50, ,0.98, ,40, ,0.78, , ,:, ,:
171,2005/06,S92000003,d,SMR04, ,F60 - F69,1280, ,25.05, ,840, ,16.44, ,100, ,1.96, 
172,2005/06,S92000003,d,Total,d,F10 - F19,10200, ,199.6, ,7320, ,143.24, ,270, ,5.28, 
173,2005/06,S92000003,d,SMR01, ,F10 - F19,5650, ,110.56, ,4110, ,80.43, , ,:, ,:
174,2005/06,S92000003,d,SMR04, ,F10 - F19,4560, ,89.23, ,3620, ,70.84, ,270, ,5.28, 
175,2005/06,S92000003,d,Total,d,F30 - F39,7760, ,151.85, ,5800, ,113.5, ,860, ,16.83, 
176,2005/06,S92000003,d,SMR01, ,F30 - F39,400, ,7.83, ,320, ,6.26, , ,:, ,:
177,2005/06,S92000003,d,SMR04, ,F30 - F39,7360, ,144.03, ,5540, ,108.41, ,860, ,16.83, 
178,2005/06,S92000003,d,Total,d,F40 - F49,2340, ,45.79, ,2070, ,40.51, ,110, ,2.15, 
179,2005/06,S92000003,d,SMR01, ,F40 - F49,740, ,14.48, ,660, ,12.92, , ,:, ,:
180,2005/06,S92000003,d,SMR04, ,F40 - F49,1600, ,31.31, ,1420, ,27.79, ,110, ,2.15, 
181,2005/06,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,6410, ,125.44, ,4700, ,91.97, ,1830, ,35.81, 
182,2005/06,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2590, ,50.68, ,1810, ,35.42, , ,:, ,:
183,2005/06,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,3820, ,74.75, ,3010, ,58.9, ,1830, ,35.81, 
184,2005/06,S92000003,d,Total,d,"F50 - F59, F70 - F99",550, ,10.76, ,420, ,8.22, ,110, ,2.15, 
185,2005/06,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",240, ,4.7, ,190, ,3.72, , ,:, ,:
186,2005/06,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",310, ,6.07, ,240, ,4.7, ,110, ,2.15, 
187,2005/06,S92000003,d,Total,d,F20 - F29,6400, ,125.24, ,4210, ,82.38, ,1670, ,32.68, 
188,2005/06,S92000003,d,SMR01, ,F20 - F29,120, ,2.35, ,100, ,1.96, , ,:, ,:
189,2005/06,S92000003,d,SMR04, ,F20 - F29,6280, ,122.89, ,4140, ,81.01, ,1670, ,32.68, 
190,2006/07,S92000003,d,Total,d,F60 - F69,1290, ,25.13, ,830, ,16.17, ,100, ,1.95, 
191,2006/07,S92000003,d,SMR01, ,F60 - F69,40, ,0.78, ,30, ,0.58, , ,:, ,:
192,2006/07,S92000003,d,SMR04, ,F60 - F69,1250, ,24.35, ,800, ,15.59, ,100, ,1.95, 
193,2006/07,S92000003,d,Total,d,F10 - F19,10940, ,213.13, ,7780, ,151.57, ,280, ,5.45, 
194,2006/07,S92000003,d,SMR01, ,F10 - F19,6670, ,129.94, ,4730, ,92.15, , ,:, ,:
195,2006/07,S92000003,d,SMR04, ,F10 - F19,4270, ,83.19, ,3490, ,67.99, ,280, ,5.45, 
196,2006/07,S92000003,d,Total,d,F30 - F39,7040, ,137.15, ,5360, ,104.42, ,850, ,16.56, 
197,2006/07,S92000003,d,SMR01, ,F30 - F39,380, ,7.4, ,310, ,6.04, , ,:, ,:
198,2006/07,S92000003,d,SMR04, ,F30 - F39,6660, ,129.75, ,5120, ,99.75, ,850, ,16.56, 
199,2006/07,S92000003,d,Total,d,F40 - F49,2150, ,41.89, ,1890, ,36.82, ,90, ,1.75, 
200,2006/07,S92000003,d,SMR01, ,F40 - F49,780, ,15.2, ,690, ,13.44, , ,:, ,:
201,2006/07,S92000003,d,SMR04, ,F40 - F49,1370, ,26.69, ,1210, ,23.57, ,90, ,1.75, 
202,2006/07,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,6740, ,131.31, ,4740, ,92.34, ,1690, ,32.92, 
203,2006/07,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2900, ,56.5, ,1940, ,37.79, , ,:, ,:
204,2006/07,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,3840, ,74.81, ,2940, ,57.28, ,1690, ,32.92, 
205,2006/07,S92000003,d,Total,d,"F50 - F59, F70 - F99",500, ,9.74, ,410, ,7.99, ,110, ,2.14, 
206,2006/07,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",220, ,4.29, ,190, ,3.7, , ,:, ,:
207,2006/07,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",280, ,5.45, ,230, ,4.48, ,110, ,2.14, 
208,2006/07,S92000003,d,Total,d,F20 - F29,5920, ,115.33, ,3840, ,74.81, ,1590, ,30.98, 
209,2006/07,S92000003,d,SMR01, ,F20 - F29,140, ,2.73, ,120, ,2.34, , ,:, ,:
210,2006/07,S92000003,d,SMR04, ,F20 - F29,5780, ,112.6, ,3770, ,73.45, ,1590, ,30.98, 
211,2007/08,S92000003,d,Total,d,F60 - F69,1360, ,26.31, ,850, ,16.44, ,110, ,2.13, 
212,2007/08,S92000003,d,SMR01, ,F60 - F69,30, ,0.58, ,30, ,0.58, , ,:, ,:
213,2007/08,S92000003,d,SMR04, ,F60 - F69,1320, ,25.53, ,830, ,16.05, ,110, ,2.13, 
214,2007/08,S92000003,d,Total,d,F10 - F19,11990, ,231.91, ,8180, ,158.22, ,250, ,4.84, 
215,2007/08,S92000003,d,SMR01, ,F10 - F19,7860, ,152.03, ,5260, ,101.74, , ,:, ,:
216,2007/08,S92000003,d,SMR04, ,F10 - F19,4130, ,79.88, ,3350, ,64.8, ,250, ,4.84, 
217,2007/08,S92000003,d,Total,d,F30 - F39,6840, ,132.3, ,5160, ,99.81, ,770, ,14.89, 
218,2007/08,S92000003,d,SMR01, ,F30 - F39,420, ,8.12, ,340, ,6.58, , ,:, ,:
219,2007/08,S92000003,d,SMR04, ,F30 - F39,6420, ,124.18, ,4900, ,94.78, ,770, ,14.89, 
220,2007/08,S92000003,d,Total,d,F40 - F49,2300, ,44.49, ,1980, ,38.3, ,110, ,2.13, 
221,2007/08,S92000003,d,SMR01, ,F40 - F49,820, ,15.86, ,720, ,13.93, , ,:, ,:
222,2007/08,S92000003,d,SMR04, ,F40 - F49,1480, ,28.63, ,1270, ,24.56, ,110, ,2.13, 
223,2007/08,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,6380, ,123.4, ,4610, ,89.17, ,1520, ,29.4, 
224,2007/08,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,3010, ,58.22, ,1990, ,38.49, , ,:, ,:
225,2007/08,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,3370, ,65.18, ,2750, ,53.19, ,1520, ,29.4, 
