financial_year,health_board,icd10codes,discharge_count,discharge_count_qf,discharge_rates,discharge_rates_qf,patients_count,patient_count_qf,patients_rates,patient_rates_qf,hospital_residents_count,hospital_residents_count_qf,hospital_residents_rates,hospital_residents_rates_qf,diagnosis_grouping
2003,All of Scotland,F30 - F39,8610,NA,169.87,NA,6480,NA,127.85,NA,1000,NA,19.73,NA,Mood Disorders
2003,All of Scotland,F40 - F49,2540,NA,50.11,NA,2240,NA,44.19,NA,130,NA,2.56,NA,"Neurotic, Stress-related & Somatoform Disorders"
2003,All of Scotland,F00 - F09 or Chapter G and second position F00,7340,NA,144.82,NA,5130,NA,101.21,NA,2070,NA,40.84,NA,"Organic, Including Symptomatic Mental Disorders"
2003,All of Scotland,"F50 - F59, F70 - F99",610,NA,12.04,NA,500,NA,9.86,NA,130,NA,2.56,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2003,All of Scotland,F20 - F29,6930,NA,136.73,NA,4510,NA,88.98,NA,1830,NA,36.11,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2004,All of Scotland,F60 - F69,1320,NA,25.96,NA,860,NA,16.91,NA,120,NA,2.36,NA,Disorders of Adult Personality & Behaviour
2004,All of Scotland,F10 - F19,10380,NA,204.16,NA,7600,NA,149.48,NA,310,NA,6.1,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2004,All of Scotland,F30 - F39,8010,NA,157.54,NA,6050,NA,118.99,NA,920,NA,18.09,NA,Mood Disorders
2004,All of Scotland,F40 - F49,2460,NA,48.38,NA,2180,NA,42.88,NA,120,NA,2.36,NA,"Neurotic, Stress-related & Somatoform Disorders"
2004,All of Scotland,F00 - F09 or Chapter G and second position F00,6610,NA,130.01,NA,4790,NA,94.21,NA,1910,NA,37.57,NA,"Organic, Including Symptomatic Mental Disorders"
2004,All of Scotland,"F50 - F59, F70 - F99",590,NA,11.6,NA,470,NA,9.24,NA,110,NA,2.16,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2004,All of Scotland,F20 - F29,6900,NA,135.71,NA,4390,NA,86.34,NA,1760,NA,34.62,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2005,All of Scotland,F60 - F69,1320,NA,25.83,NA,870,NA,17.02,NA,100,NA,1.96,NA,Disorders of Adult Personality & Behaviour
2005,All of Scotland,F10 - F19,10200,NA,199.6,NA,7320,NA,143.24,NA,270,NA,5.28,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2005,All of Scotland,F30 - F39,7760,NA,151.85,NA,5800,NA,113.5,NA,860,NA,16.83,NA,Mood Disorders
2005,All of Scotland,F40 - F49,2340,NA,45.79,NA,2070,NA,40.51,NA,110,NA,2.15,NA,"Neurotic, Stress-related & Somatoform Disorders"
2005,All of Scotland,F00 - F09 or Chapter G and second position F00,6410,NA,125.44,NA,4700,NA,91.97,NA,1830,NA,35.81,NA,"Organic, Including Symptomatic Mental Disorders"
2005,All of Scotland,"F50 - F59, F70 - F99",550,NA,10.76,NA,420,NA,8.22,NA,110,NA,2.15,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2005,All of Scotland,F20 - F29,6400,NA,125.24,NA,4210,NA,82.38,NA,1670,NA,32.68,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2006,All of Scotland,F60 - F69,1290,NA,25.13,NA,830,NA,16.17,NA,100,NA,1.95,NA,Disorders of Adult Personality & Behaviour
2006,All of Scotland,F10 - F19,10940,NA,213.13,NA,7780,NA,151.57,NA,280,NA,5.45,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2006,All of Scotland,F30 - F39,7040,NA,137.15,NA,5360,NA,104.42,NA,850,NA,16.56,NA,Mood Disorders
2006,All of Scotland,F40 - F49,2150,NA,41.89,NA,1890,NA,36.82,NA,90,NA,1.75,NA,"Neurotic, Stress-related & Somatoform Disorders"
2006,All of Scotland,F00 - F09 or Chapter G and second position F00,6740,NA,131.31,NA,4740,NA,92.34,NA,1690,NA,32.92,NA,"Organic, Including Symptomatic Mental Disorders"
2006,All of Scotland,"F50 - F59, F70 - F99",500,NA,9.74,NA,410,NA,7.99,NA,110,NA,2.14,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2006,All of Scotland,F20 - F29,5920,NA,115.33,NA,3840,NA,74.81,NA,1590,NA,30.98,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2007,All of Scotland,F60 - F69,1360,NA,26.31,NA,850,NA,16.44,NA,110,NA,2.13,NA,Disorders of Adult Personality & Behaviour
2007,All of Scotland,F10 - F19,11990,NA,231.91,NA,8180,NA,158.22,NA,250,NA,4.84,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2007,All of Scotland,F30 - F39,6840,NA,132.3,NA,5160,NA,99.81,NA,770,NA,14.89,NA,Mood Disorders
2007,All of Scotland,F40 - F49,2300,NA,44.49,NA,1980,NA,38.3,NA,110,NA,2.13,NA,"Neurotic, Stress-related & Somatoform Disorders"
2007,All of Scotland,F00 - F09 or Chapter G and second position F00,6380,NA,123.4,NA,4610,NA,89.17,NA,1520,NA,29.4,NA,"Organic, Including Symptomatic Mental Disorders"
2007,All of Scotland,"F50 - F59, F70 - F99",560,NA,10.83,NA,440,NA,8.51,NA,100,NA,1.93,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2007,All of Scotland,F20 - F29,5680,NA,109.86,NA,3750,NA,72.53,NA,1510,NA,29.21,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2008,All of Scotland,F60 - F69,1420,NA,27.29,NA,930,NA,17.87,NA,100,NA,1.92,NA,Disorders of Adult Personality & Behaviour
2008,All of Scotland,F10 - F19,12550,NA,241.21,NA,8500,NA,163.37,NA,220,NA,4.23,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2008,All of Scotland,F30 - F39,6460,NA,124.16,NA,5000,NA,96.1,NA,700,NA,13.45,NA,Mood Disorders
2008,All of Scotland,F40 - F49,2370,NA,45.55,NA,2040,NA,39.21,NA,90,NA,1.73,NA,"Neurotic, Stress-related & Somatoform Disorders"
2008,All of Scotland,F00 - F09 or Chapter G and second position F00,6370,NA,122.43,NA,4560,NA,87.64,NA,1450,NA,27.87,NA,"Organic, Including Symptomatic Mental Disorders"
2008,All of Scotland,"F50 - F59, F70 - F99",520,NA,9.99,NA,410,NA,7.88,NA,80,NA,1.54,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2008,All of Scotland,F20 - F29,5560,NA,106.86,NA,3770,NA,72.46,NA,1430,NA,27.48,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2009,All of Scotland,F60 - F69,1380,NA,26.38,NA,920,NA,17.58,NA,110,NA,2.1,NA,Disorders of Adult Personality & Behaviour
2009,All of Scotland,F10 - F19,11890,NA,227.26,NA,8110,NA,155.01,NA,190,NA,3.63,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2009,All of Scotland,F30 - F39,5990,NA,114.49,NA,4700,NA,89.83,NA,660,NA,12.61,NA,Mood Disorders
2009,All of Scotland,F40 - F49,2230,NA,42.62,NA,1900,NA,36.32,NA,110,NA,2.1,NA,"Neurotic, Stress-related & Somatoform Disorders"
2009,All of Scotland,F00 - F09 or Chapter G and second position F00,6290,NA,120.22,NA,4500,NA,86.01,NA,1400,NA,26.76,NA,"Organic, Including Symptomatic Mental Disorders"
2009,All of Scotland,"F50 - F59, F70 - F99",490,NA,9.37,NA,400,NA,7.65,NA,80,NA,1.53,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2009,All of Scotland,F20 - F29,5140,NA,98.24,NA,3470,NA,66.32,NA,1390,NA,26.57,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2010,All of Scotland,F60 - F69,1430,NA,27.17,NA,910,NA,17.29,NA,110,NA,2.09,NA,Disorders of Adult Personality & Behaviour
2010,All of Scotland,F10 - F19,11780,NA,223.86,NA,7750,NA,147.28,NA,200,NA,3.8,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2010,All of Scotland,F30 - F39,5940,NA,112.88,NA,4550,NA,86.47,NA,620,NA,11.78,NA,Mood Disorders
2010,All of Scotland,F40 - F49,2210,NA,42,NA,1880,NA,35.73,NA,100,NA,1.9,NA,"Neurotic, Stress-related & Somatoform Disorders"
2010,All of Scotland,F00 - F09 or Chapter G and second position F00,7050,NA,133.97,NA,4740,NA,90.08,NA,1300,NA,24.7,NA,"Organic, Including Symptomatic Mental Disorders"
2010,All of Scotland,"F50 - F59, F70 - F99",510,NA,9.69,NA,400,NA,7.6,NA,90,NA,1.71,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2010,All of Scotland,F20 - F29,4920,NA,93.5,NA,3370,NA,64.04,NA,1320,NA,25.08,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2011,All of Scotland,F60 - F69,1520,NA,28.68,NA,980,NA,18.49,NA,110,NA,2.08,NA,Disorders of Adult Personality & Behaviour
2011,All of Scotland,F10 - F19,12060,NA,227.55,NA,7760,NA,146.42,NA,170,NA,3.21,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2011,All of Scotland,F30 - F39,5980,NA,112.83,NA,4490,NA,84.72,NA,620,NA,11.7,NA,Mood Disorders
2011,All of Scotland,F40 - F49,2330,NA,43.96,NA,1930,NA,36.42,NA,110,NA,2.08,NA,"Neurotic, Stress-related & Somatoform Disorders"
2011,All of Scotland,F00 - F09 or Chapter G and second position F00,7560,NA,142.64,NA,4880,NA,92.08,NA,1150,NA,21.7,NA,"Organic, Including Symptomatic Mental Disorders"
2011,All of Scotland,"F50 - F59, F70 - F99",570,NA,10.75,NA,430,NA,8.11,NA,90,NA,1.7,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2011,All of Scotland,F20 - F29,5240,NA,98.87,NA,3480,NA,65.66,NA,1270,NA,23.96,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2012,All of Scotland,F60 - F69,1520,NA,28.61,NA,970,NA,18.26,NA,100,NA,1.88,NA,Disorders of Adult Personality & Behaviour
2012,All of Scotland,F10 - F19,11400,NA,214.54,NA,7330,NA,137.95,NA,180,NA,3.39,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2012,All of Scotland,F30 - F39,5990,NA,112.73,NA,4440,NA,83.56,NA,590,NA,11.1,NA,Mood Disorders
2012,All of Scotland,F40 - F49,2390,NA,44.98,NA,1980,NA,37.26,NA,80,NA,1.51,NA,"Neurotic, Stress-related & Somatoform Disorders"
2012,All of Scotland,F00 - F09 or Chapter G and second position F00,7800,NA,146.79,NA,4950,NA,93.16,NA,1060,NA,19.95,NA,"Organic, Including Symptomatic Mental Disorders"
2012,All of Scotland,"F50 - F59, F70 - F99",660,NA,12.42,NA,500,NA,9.41,NA,120,NA,2.26,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2012,All of Scotland,F20 - F29,5040,NA,94.85,NA,3420,NA,64.36,NA,1320,NA,24.84,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2013,All of Scotland,F60 - F69,1600,NA,30.03,NA,970,NA,18.21,NA,120,NA,2.25,NA,Disorders of Adult Personality & Behaviour
2013,All of Scotland,F10 - F19,12340,NA,231.62,NA,7700,NA,144.53,NA,180,NA,3.38,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2013,All of Scotland,F30 - F39,5660,NA,106.24,NA,4100,NA,76.96,NA,570,NA,10.7,NA,Mood Disorders
2013,All of Scotland,F40 - F49,2420,NA,45.42,NA,2050,NA,38.48,NA,110,NA,2.06,NA,"Neurotic, Stress-related & Somatoform Disorders"
2013,All of Scotland,F00 - F09 or Chapter G and second position F00,8200,NA,153.91,NA,4860,NA,91.22,NA,1020,NA,19.15,NA,"Organic, Including Symptomatic Mental Disorders"
2013,All of Scotland,"F50 - F59, F70 - F99",690,NA,12.95,NA,510,NA,9.57,NA,100,NA,1.88,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2013,All of Scotland,F20 - F29,4980,NA,93.47,NA,3380,NA,63.44,NA,1240,NA,23.27,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2014,All of Scotland,F60 - F69,1640,NA,30.67,NA,1010,NA,18.89,NA,110,NA,2.06,NA,Disorders of Adult Personality & Behaviour
2014,All of Scotland,F10 - F19,12800,NA,239.36,NA,7520,NA,140.62,NA,200,NA,3.74,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2014,All of Scotland,F30 - F39,5600,NA,104.72,NA,3840,NA,71.81,NA,540,NA,10.1,NA,Mood Disorders
2014,All of Scotland,F40 - F49,2390,NA,44.69,NA,1950,NA,36.46,NA,90,NA,1.68,NA,"Neurotic, Stress-related & Somatoform Disorders"
2014,All of Scotland,F00 - F09 or Chapter G and second position F00,9210,NA,172.23,NA,5210,NA,97.43,NA,990,NA,18.51,NA,"Organic, Including Symptomatic Mental Disorders"
2014,All of Scotland,"F50 - F59, F70 - F99",730,NA,13.65,NA,550,NA,10.28,NA,130,NA,2.43,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2014,All of Scotland,F20 - F29,5180,NA,96.87,NA,3330,NA,62.27,NA,1200,NA,22.44,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2015,All of Scotland,F60 - F69,1760,NA,32.76,NA,1090,NA,20.29,NA,130,NA,2.42,NA,Disorders of Adult Personality & Behaviour
2015,All of Scotland,F10 - F19,14050,NA,261.49,NA,7900,NA,147.03,NA,180,NA,3.35,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2015,All of Scotland,F30 - F39,5730,NA,106.64,NA,3770,NA,70.17,NA,520,NA,9.68,NA,Mood Disorders
2015,All of Scotland,F40 - F49,2460,NA,45.78,NA,1980,NA,36.85,NA,100,NA,1.86,NA,"Neurotic, Stress-related & Somatoform Disorders"
2015,All of Scotland,F00 - F09 or Chapter G and second position F00,10460,NA,194.68,NA,5610,NA,104.41,NA,940,NA,17.49,NA,"Organic, Including Symptomatic Mental Disorders"
2015,All of Scotland,"F50 - F59, F70 - F99",750,NA,13.96,NA,560,NA,10.42,NA,120,NA,2.23,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2015,All of Scotland,F20 - F29,5230,NA,97.34,NA,3320,NA,61.79,NA,1190,NA,22.15,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2016,All of Scotland,F60 - F69,1950,NA,36.08,NA,1180,NA,21.83,NA,140,NA,2.59,NA,Disorders of Adult Personality & Behaviour
2016,All of Scotland,F10 - F19,15330,NA,283.64,NA,8140,NA,150.61,NA,160,NA,2.96,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2016,All of Scotland,F30 - F39,5500,NA,101.76,NA,3470,NA,64.2,NA,470,NA,8.7,NA,Mood Disorders
2016,All of Scotland,F40 - F49,2610,NA,48.29,NA,2070,NA,38.3,NA,90,NA,1.67,NA,"Neurotic, Stress-related & Somatoform Disorders"
2016,All of Scotland,F00 - F09 or Chapter G and second position F00,11140,NA,206.12,NA,5760,NA,106.57,NA,940,NA,17.39,NA,"Organic, Including Symptomatic Mental Disorders"
2016,All of Scotland,"F50 - F59, F70 - F99",910,NA,16.84,NA,680,NA,12.58,NA,120,NA,2.22,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2016,All of Scotland,F20 - F29,5150,NA,95.29,NA,3310,NA,61.24,NA,1170,NA,21.65,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2017,All of Scotland,F60 - F69,2110,NA,38.9,NA,1230,NA,22.67,NA,150,NA,2.77,NA,Disorders of Adult Personality & Behaviour
2017,All of Scotland,F10 - F19,15480,NA,285.36,NA,8130,NA,149.87,NA,160,NA,2.95,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2017,All of Scotland,F30 - F39,5290,NA,97.52,NA,3360,NA,61.94,NA,490,NA,9.03,NA,Mood Disorders
2017,All of Scotland,F40 - F49,2630,NA,48.48,NA,2050,NA,37.79,NA,90,NA,1.66,NA,"Neurotic, Stress-related & Somatoform Disorders"
2017,All of Scotland,F00 - F09 or Chapter G and second position F00,13600,NA,250.7,NA,6520,NA,120.19,NA,840,NA,15.48,NA,"Organic, Including Symptomatic Mental Disorders"
2017,All of Scotland,"F50 - F59, F70 - F99",900,NA,16.59,NA,660,NA,12.17,NA,110,NA,2.03,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2017,All of Scotland,F20 - F29,5170,NA,95.3,NA,3310,NA,61.02,NA,1150,NA,21.2,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2018,All of Scotland,F60 - F69,2440,NA,44.87,NA,1290,NA,23.72,NA,150,NA,2.76,NA,Disorders of Adult Personality & Behaviour
2018,All of Scotland,F10 - F19,16440,NA,302.31,NA,8420,NA,154.83,NA,180,NA,3.31,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2018,All of Scotland,F30 - F39,5720,NA,105.18,NA,3450,NA,63.44,NA,470,NA,8.64,NA,Mood Disorders
2018,All of Scotland,F40 - F49,2790,NA,51.3,NA,2180,NA,40.09,NA,100,NA,1.84,NA,"Neurotic, Stress-related & Somatoform Disorders"
2018,All of Scotland,F00 - F09 or Chapter G and second position F00,13470,NA,247.7,NA,6440,NA,118.42,NA,710,NA,13.06,NA,"Organic, Including Symptomatic Mental Disorders"
2018,All of Scotland,"F50 - F59, F70 - F99",990,NA,18.2,NA,650,NA,11.95,NA,110,NA,2.02,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2018,All of Scotland,F20 - F29,5670,NA,104.26,NA,3320,NA,61.05,NA,1120,NA,20.6,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2019,All of Scotland,F60 - F69,2460,NA,45.03,NA,1370,NA,25.08,NA,100,NA,1.83,NA,Disorders of Adult Personality & Behaviour
2019,All of Scotland,F10 - F19,18620,NA,340.82,NA,8880,NA,162.54,NA,90,NA,1.65,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2019,All of Scotland,F30 - F39,5570,NA,101.95,NA,3370,NA,61.68,NA,360,NA,6.59,NA,Mood Disorders
2019,All of Scotland,F40 - F49,2910,NA,53.26,NA,2160,NA,39.54,NA,60,NA,1.1,NA,"Neurotic, Stress-related & Somatoform Disorders"
2019,All of Scotland,F00 - F09 or Chapter G and second position F00,14630,NA,267.79,NA,6450,NA,118.06,NA,650,NA,11.9,NA,"Organic, Including Symptomatic Mental Disorders"
2019,All of Scotland,"F50 - F59, F70 - F99",1100,NA,20.13,NA,670,NA,12.26,NA,100,NA,1.83,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2019,All of Scotland,F20 - F29,5680,NA,103.97,NA,3390,NA,62.05,NA,830,NA,15.19,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2020,All of Scotland,F60 - F69,1970,NA,36.04,NA,1080,NA,19.76,NA,110,NA,2.01,NA,Disorders of Adult Personality & Behaviour
2020,All of Scotland,F10 - F19,17250,NA,315.59,NA,7970,NA,145.81,NA,140,NA,2.56,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2020,All of Scotland,F30 - F39,4910,NA,89.83,NA,2840,NA,51.96,NA,400,NA,7.32,NA,Mood Disorders
2020,All of Scotland,F40 - F49,2720,NA,49.76,NA,2040,NA,37.32,NA,70,NA,1.28,NA,"Neurotic, Stress-related & Somatoform Disorders"
2020,All of Scotland,F00 - F09 or Chapter G and second position F00,14800,NA,270.76,NA,6090,NA,111.42,NA,540,NA,9.88,NA,"Organic, Including Symptomatic Mental Disorders"
2020,All of Scotland,"F50 - F59, F70 - F99",1160,NA,21.22,NA,720,NA,13.17,NA,120,NA,2.2,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2020,All of Scotland,F20 - F29,5600,NA,102.45,NA,3200,NA,58.54,NA,810,NA,14.82,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2021,All of Scotland,F60 - F69,1980,NA,36.13,NA,1100,NA,20.07,NA,80,NA,1.46,NA,Disorders of Adult Personality & Behaviour
2021,All of Scotland,F10 - F19,17100,NA,312.05,NA,7700,NA,140.51,NA,100,NA,1.82,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2021,All of Scotland,F30 - F39,4550,NA,83.03,NA,2800,NA,51.1,NA,370,NA,6.75,NA,Mood Disorders
2021,All of Scotland,F40 - F49,2520,NA,45.99,NA,1860,NA,33.94,NA,60,NA,1.09,NA,"Neurotic, Stress-related & Somatoform Disorders"
